Country,latitude,longitude,SiteBdDetected,SppDet,SppTested
Argentina,-39.0409999999999,-70.3589999999999,D,1,1
Argentina,-35.0166699999999,-57.85,D,1,1
Australia,-34.03,141.15,D,1,1
Australia,-30.680589,147.541833,D,7,13
Australia,-28.83333,153.03333,D,1,1
Australia,-28.21667,153.13333,D,1,1
Australia,-28.1999999999999,153.099999999999,D,1,1
Australia,-28.05,152.349999999999,D,1,1
Australia,-28.0333299999999,152.38333,D,1,1
Australia,-27.96667,152.566669999999,N,0,1
Australia,-27.63333,152.38333,D,1,1
Australia,-27.63333,152.38333,D,1,1
Australia,-27.3765,151.1088,D,2,5
Australia,-27.3765,151.1088,N,0,1
Australia,-27.3765,151.1088,N,0,1
Australia,-27.3166699999999,152.75,D,1,1
Australia,-26.8666699999999,151.599999999999,D,1,1
Australia,-26.71667,152.5667,D,1,1
Australia,-26.6999999999999,152.61667,D,1,1
Australia,-26.6166699999999,152.68333,D,1,1
Australia,-26.6,152.833329999999,D,1,1
Australia,-26.08333,151.583333,D,1,1
Australia,-24.3999999999999,151.03333,D,1,1
Australia,-21.0666699999999,148.63333,D,1,1
Australia,-21.01667,148.599999999999,D,1,1
Australia,-18.98108371,146.164965599999,N,0,1
Australia,-18.21613,145.78355,N,0,1
Australia,-18.183333,145.866667,D,1,1
Australia,-17.934,145.923399999999,D,1,1
Australia,-17.8,145.683333,D,1,1
Australia,-17.75,145.633333,D,1,1
Australia,-17.4163999999999,145.7167,D,1,1
Australia,-17.334819,145.866559999999,D,1,1
Australia,-17.33333,145.916666999999,D,1,1
Australia,-34.7666699999999,138.53333,D,1,1
Australia,-35.0333299999999,117.88333,N,0,1
Australia,-35.0166699999999,116.849999999999,N,0,1
Australia,-35.0166699999999,117.98333,N,0,1
Australia,-34.98333,117.41667,N,0,1
Australia,-34.96667,117.5,N,0,1
Australia,-34.96667,117.81667,N,0,1
Australia,-34.96667,118.11667,N,0,1
Australia,-34.95,117.349999999999,N,0,1
Australia,-34.95,118.18333,N,0,1
Australia,-34.8999999999999,117.3,N,0,1
Australia,-34.8333299999999,117.3,N,0,1
Australia,-34.8333299999999,118.18333,N,0,1
Australia,-34.81667,116.03333,D,1,1
Australia,-34.7833299999999,116.03333,D,1,1
Australia,-34.7666699999999,116.36667,N,0,1
Australia,-34.7666699999999,116.95,N,0,1
Australia,-34.73333,117.63333,D,1,2
Australia,-34.7,117.01667,D,2,2
Australia,-34.7,117.9,N,0,1
Australia,-34.6833299999999,116.2,N,0,1
Australia,-34.6833299999999,117.53333,N,0,1
Australia,-34.66667,117.9,D,1,1
Australia,-34.6499999999999,116.11667,N,0,1
Australia,-34.6499999999999,117.65,D,1,1
Australia,-34.63333,116.11667,N,0,1
Australia,-34.5333299999999,116.41667,D,1,1
Australia,-34.5166699999999,116.23333,N,0,1
Australia,-34.45,116.03333,N,0,2
Australia,-34.38333,118.05,N,0,1
Australia,-34.3666699999999,118.25,N,0,1
Australia,-34.3666699999999,118.33333,N,0,1
Australia,-34.3333299999999,115.15,N,0,1
Australia,-34.2999999999999,115.75,D,1,2
Australia,-34.25,116.15,D,1,1
Australia,-34.241,116.146,D,1,1
Australia,-34.23333,115.75,D,1,1
Australia,-34.1499999999999,115.13333,D,1,1
Australia,-34.1499999999999,115.75,D,1,2
Australia,-34.13333,115.13333,N,0,1
Australia,-34.1166699999999,115.08333,N,0,1
Australia,-34.1166699999999,115.13333,N,0,1
Australia,-34.1166699999999,115.15,N,0,1
Australia,-34.1,115.15,N,0,1
Australia,-34.0833299999999,115.75,D,1,1
Australia,-34.0833299999999,116.33333,N,0,2
Australia,-34.06667,115.3,D,1,1
Australia,-34.0499999999999,117.65,N,0,1
Australia,-34.0333299999999,115.099999999999,N,0,1
Australia,-34.0333299999999,115.13333,N,0,1
Australia,-34.0333299999999,119.716669999999,N,0,1
Australia,-34.0166699999999,115.01667,N,0,1
Australia,-34.0166699999999,115.08333,N,0,1
Australia,-34.0166699999999,115.099999999999,D,1,1
Australia,-34.0166699999999,117.83333,N,0,1
Australia,-34.0166699999999,122.18333,N,0,1
Australia,-34,116.01667,D,1,1
Australia,-33.98333,115.11667,D,1,2
Australia,-33.98333,115.75,D,1,1
Australia,-33.96667,115.18333,N,0,1
Australia,-33.96667,115.2,N,0,3
Australia,-33.96667,115.216669999999,D,1,3
Australia,-33.95,115.06667,N,0,1
Australia,-33.9333299999999,115.01667,D,2,2
Australia,-33.91667,116.28333,D,2,3
Australia,-33.8999999999999,116.33333,D,1,2
Australia,-33.85,116.05,D,1,1
Australia,-33.8333299999999,115.03333,N,0,1
Australia,-33.8333299999999,121.13333,N,0,1
Australia,-33.7833299999999,115.01667,D,1,1
Australia,-33.71667,115.03333,D,1,1
Australia,-33.7,116.23333,D,1,1
Australia,-33.66667,115.01667,D,2,2
Australia,-33.6499999999999,115.01667,D,1,1
Australia,-33.6166699999999,115.06667,N,0,1
Australia,-33.56667,115.03333,D,3,3
Australia,-33.5499999999999,115.91667,N,0,1
Australia,-33.4333299999999,123.466669999999,N,0,1
Australia,-33.3999999999999,115.75,N,0,1
Australia,-33.3333299999999,115.66667,N,0,1
Australia,-33.3333299999999,117.66667,N,0,1
Australia,-33.31667,115.63333,D,1,1
Australia,-32.91667,116.43333,N,0,1
Australia,-32.8333299999999,115.65,D,2,3
Australia,-32.5,115.716669999999,D,1,1
Australia,-32.4333299999999,115.75,D,4,4
Australia,-32.41667,116.3,N,0,1
Australia,-32.2999999999999,116.01667,N,0,1
Australia,-32.2666699999999,115.78333,N,0,1
Australia,-32.2666699999999,116,D,1,1
Australia,-32.25,116,N,0,1
Australia,-32.23333,115.98333,N,0,1
Australia,-32.23333,116,N,0,2
Australia,-32.21667,115.966669999999,D,1,1
Australia,-32.21667,116,D,2,2
Australia,-32.1499999999999,115.91667,N,0,1
Australia,-32.1499999999999,115.93333,N,0,1
Australia,-32.1499999999999,116.13333,N,0,1
Australia,-32.1166699999999,115.75,N,0,1
Australia,-32.1166699999999,116.15,N,0,2
Australia,-32.0833299999999,115.88333,D,1,2
Australia,-32.0833299999999,116,N,0,1
Australia,-32.0499999999999,115.91667,D,1,1
Australia,-32.0499999999999,116.01667,D,1,1
Australia,-32.0499999999999,116.01667,D,1,1
Australia,-32.0499999999999,116.18333,N,0,1
Australia,-32.0333299999999,115.98333,N,0,1
Australia,-32.0166699999999,115.849999999999,N,0,1
Australia,-32.0166699999999,115.9,D,1,4
Australia,-32.0166699999999,115.966669999999,N,0,1
Australia,-32.0166699999999,116.23333,N,0,1
Australia,-32,115.98333,N,0,2
Australia,-31.9833299999999,115.78333,N,0,1
Australia,-31.9833299999999,116.16667,D,3,3
Australia,-31.9833299999999,116.18333,D,1,1
Australia,-31.96667,115.78333,D,2,2
Australia,-31.96667,115.966669999999,D,1,3
Australia,-31.96667,116.11667,N,0,2
Australia,-31.96667,116.16667,N,0,1
Australia,-31.9499999999999,115.76667,N,0,2
Australia,-31.9499999999999,115.86667,D,1,1
Australia,-31.9499999999999,115.86667,D,1,1
Australia,-31.93333,115.76667,N,0,2
Australia,-31.93333,115.78333,D,3,5
Australia,-31.93333,115.8,N,0,1
Australia,-31.93333,115.966669999999,N,0,2
Australia,-31.91667,115.8,N,0,2
Australia,-31.91667,115.966669999999,D,1,1
Australia,-31.91667,115.98333,N,0,1
Australia,-31.91667,116.01667,N,0,1
Australia,-31.91667,116.03333,N,0,1
Australia,-31.91667,116.06667,N,0,3
Australia,-31.91667,116.349999999999,N,0,1
Australia,-31.8999999999999,115.78333,N,0,1
Australia,-31.8999999999999,115.8,D,1,2
Australia,-31.8999999999999,116,N,0,1
