"Longitude","Latitude","Date","N.sampled","N.positive","Prevalence"
-71.18,-13.86,"2002",4,3,0.75
-71.05,-13.85,"2003",30,9,0.3
-71.1405,-13.575,"2008",65,17,0.261538461538462
-71.97128,-13.52384,"2008",2,1,0.5
-71.84119,-13.52217,"2011",3,0,0
-71.11901,-13.50037,"2015",1,0,0
-71.09164,-13.47207,"2015",1,0,0
-71.09204,-13.47206,"2015",1,0,0
-71.09227,-13.47175,"2015",1,0,0
-71.09207,-13.47148,"2015",1,0,0
-71.04545,-13.453,"2015",1,0,0
-71.03816,-13.45058,"2015",1,0,0
-71.03814,-13.45055,"2015",1,0,0
-71.0379,-13.45051,"2015",1,0,0
-71.03078,-13.45029,"2015",1,0,0
-71.02908,-13.45024,"2015",1,0,0
-71.0249,-13.45024,"2015",1,0,0
-71.03137,-13.45014,"2015",1,0,0
-71.03653,-13.45007,"2015",1,0,0
-71.03654,-13.45005,"2015",1,0,0
-71.03654,-13.45005,"2015",1,0,0
-71.0365,-13.45004,"2015",1,0,0
-71.033,-13.44987,"2015",1,0,0
-71.0356,-13.44968,"2015",1,0,0
-71.03519,-13.44956,"2015",1,0,0
-71.03519,-13.44956,"2015",1,0,0
-71.0351,-13.44954,"2015",1,0,0
-71.0351,-13.44954,"2015",1,0,0
-71.03535,-13.44953,"2015",1,0,0
-71.03529,-13.44953,"2015",1,0,0
-71.75134,-13.44945,"2011",17,6,0.352941176470588
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0118,-13.44869,"2015",1,0,0
-71.0114,-13.44858,"2015",1,0,0
-71.0114,-13.44858,"2015",1,0,0
-71.01141,-13.44843,"2015",1,0,0
